physician,patient,medication,date,appointment,dose
35,638-07-0950,78,2/14/2008,222,92
35,529-74-6884,14,4/26/2004,116,81
8,764-90-7624,82,1/2/2000,24,63
7,486-70-4749,176,8/30/2013,781,2
55,333-37-2934,110,3/17/1998,262,36
66,321-76-6170,9,6/5/2017,83,67
34,684-95-1408,173,5/6/2014,110,17
47,809-47-4676,190,12/31/1997,595,21
59,776-31-7188,193,3/3/2006,684,7
34,776-31-7188,24,2/23/2000,360,7
66,648-27-5290,57,12/22/2007,811,34
67,629-72-7485,115,10/21/2005,257,90
35,577-49-3673,198,10/30/1999,342,12
73,474-69-3882,56,11/12/2013,140,79
67,567-20-0658,181,2/20/2011,91,78
6,735-82-3826,194,12/29/2019,855,72
6,860-83-8404,72,7/3/2020,57,53
73,823-76-8297,98,5/11/2013,195,65
20,460-40-9581,184,1/2/2011,31,3
6,611-54-8381,117,12/5/2020,657,11
66,727-57-1919,65,2/13/1998,661,53
39,569-40-0040,68,8/30/2016,591,10
25,513-72-4772,163,5/8/2008,479,95
67,276-74-4212,148,11/16/2014,703,81
7,582-77-4293,67,10/24/2017,149,85
73,391-31-4683,186,6/3/2021,98,92
25,755-04-5076,16,1/23/2010,422,40
67,748-30-3353,71,10/28/2018,833,27
73,130-44-6117,70,5/2/2020,639,47
97,120-51-0651,43,12/20/2000,865,11
62,382-60-9432,171,4/13/2013,728,96
35,791-09-0233,145,10/4/2011,568,31
35,711-25-5754,36,9/16/1998,655,30
34,736-49-3332,134,7/9/1999,290,31
35,279-47-1825,53,8/19/2017,89,39
35,109-65-1710,188,8/25/2009,31,59
34,689-96-3224,15,5/5/2000,782,56
25,398-91-9508,187,2/3/2000,567,56
30,411-36-8384,157,12/29/1997,625,82
78,145-36-0622,183,5/22/2014,121,674
66,311-94-2450,63,7/19/2007,986,28
8,517-16-4008,125,6/26/2015,877,59
25,805-18-0241,100,8/16/2015,913,12
73,597-48-2305,131,5/13/2001,173,93
35,250-97-2970,161,6/18/2016,105,33
35,253-40-4800,30,6/5/2015,396,59
66,834-11-3726,174,8/20/2020,590,25
36,671-84-1242,127,9/16/2005,620,87
27,274-84-2960,93,12/15/2013,905,61
25,676-96-1003,176,4/7/2005,151,47
8,523-38-2229,56,11/16/2010,251,99
25,752-97-9672,24,7/12/1999,281,54
67,223-21-0899,86,11/15/1998,21,18
67,500-84-0820,27,11/20/2003,893,44
25,790-55-8879,49,2/27/2014,209,51
25,770-02-7118,158,6/25/2021,743,70
34,618-35-7425,7,12/14/2019,391,10
67,705-38-8542,62,12/9/2001,948,54
73,236-67-9127,154,8/21/2009,173,93
39,212-98-1426,5,1/22/2011,466,10
67,822-80-8375,92,6/29/2018,938,77
25,579-06-4268,140,7/13/2001,254,2
6,460-40-9581,72,6/28/1998,868,52
20,167-50-6319,132,5/9/2008,153,43
67,780-46-3476,196,1/26/2019,533,85
59,744-10-1287,157,7/29/2009,186,100
27,752-79-0977,193,9/29/1999,270,83
8,518-98-4656,123,4/15/2014,514,78
59,199-13-1703,35,1/4/2014,927,78
60,543-94-1218,186,6/11/2001,267,87
35,212-98-1426,114,6/3/2006,756,67
97,868-41-1051,50,4/12/2000,390,38
67,354-37-2606,143,12/2/2009,778,72
39,530-10-5647,197,8/1/2000,223,708
55,178-59-2781,709,11/6/2012,369,49
6,395-57-7223,26,4/4/2005,482,70
25,785-23-1931,56,11/27/2003,154,35
40,153-69-6817,99,7/18/2018,266,4
97,340-07-9858,95,1/13/1999,845,50
7,684-95-1408,70,9/13/2002,56,9
25,455-18-4954,193,7/3/2011,77,56
8,222-66-5653,93,3/14/2011,277,6
25,102-09-3343,182,10/11/2014,711,98
39,795-98-8022,145,7/5/2010,242,89
5,310-22-0622,39,8/5/2011,151,23
7,193-75-5474,154,5/25/2009,39,41
73,776-30-8109,69,11/3/2006,942,98
62,739-41-1456,28,1/17/2008,223,58
8,618-35-7425,46,10/14/2003,584,23
34,752-77-4954,123,8/20/2003,890,17
27,512-06-0301,31,12/22/2000,821,79
39,684-95-1408,14,12/23/2004,910,69
27,197-17-9349,12,8/13/2021,489,94
34,423-86-3296,59,5/14/2013,665,59
20,558-07-2871,65,9/4/2003,500,65
97,266-43-0263,62,12/23/2016,541,31
8,565-21-1078,17,8/2/2008,186,731
8,346-89-2994,21,10/7/2013,176,38
27,477-32-2207,34,1/19/2004,481,78
39,145-36-0622,150,2/12/2007,217,37
59,444-24-3183,111,7/30/2014,436,98
27,260-27-9452,89,9/20/2007,743,75
73,660-72-3454,4,7/7/2004,975,5
67,416-11-2445,154,7/9/2003,643,68
55,386-25-4320,111,8/14/1998,699,34
25,701-25-0315,22,4/28/1998,483,54
62,333-25-3824,84,10/13/2018,269,99
35,700-30-0365,54,8/6/2012,681,96
27,617-18-2740,17,10/1/2021,92,63
27,696-82-5541,163,4/29/2000,214,98
97,250-14-6020,148,2/17/1998,365,75
66,436-43-5154,84,5/7/2015,534,60
8,621-90-6264,113,3/7/2013,828,60
8,596-41-0484,75,2/13/2010,944,16
73,537-59-6562,129,8/19/2005,751,37
25,667-79-0078,92,4/29/2019,817,63
8,661-15-3798,12,10/18/2014,235,89
39,543-94-1218,44,9/12/2005,873,47
60,742-52-4169,42,2/25/2018,885,53
67,893-35-6526,162,7/27/2008,100,45
8,350-26-0964,102,5/13/2011,777,97
87,163-82-9537,54,6/5/2011,299,11
36,253-40-4800,54,8/5/2003,312,96
8,868-41-1051,55,7/27/2013,805,61
62,281-96-6813,100,8/23/2010,197,94
73,707-91-8461,110,3/22/2012,727,43
20,582-56-2876,101,3/30/2015,789,54
35,223-29-2837,64,11/25/2008,626,11
27,226-71-2989,30,8/26/2014,914,70
11,226-42-2341,176,7/23/2000,225,64
67,641-51-1890,49,4/22/2021,971,18
62,161-46-0294,766,4/22/2013,575,31
66,416-11-2445,18,11/27/2004,150,19
25,279-14-7966,106,9/17/2005,492,88
25,776-30-8109,62,12/13/2009,866,34
31,354-07-5572,110,4/20/2014,844,23
35,498-20-8859,118,5/5/2011,75,14
27,116-60-9580,133,8/2/2021,191,75
66,319-79-7406,132,10/3/1999,529,62
66,888-81-3211,108,10/6/2003,651,77
27,348-52-2997,35,6/1/2015,715,61
35,395-57-7223,86,11/29/2019,956,86
27,574-91-6186,167,3/14/2009,631,68
39,594-97-4089,176,1/10/2020,272,39
25,376-44-0819,51,9/5/2010,744,29
12,772-31-0885,105,4/22/2001,970,21
27,614-55-4424,54,6/30/2011,344,68
67,805-18-0241,71,11/2/2014,499,89
73,500-67-3209,5,5/20/2020,751,59
67,206-19-4940,108,1/16/2003,922,27
66,482-86-4849,126,5/24/2010,377,27
25,224-89-4697,118,10/23/2017,758,70
97,128-42-4132,68,8/8/2005,421,34
55,154-28-5398,81,6/18/2008,115,43
27,529-74-6884,36,11/29/2010,924,76
8,764-15-5344,128,12/17/2014,854,89
27,297-19-4735,57,11/26/2003,147,19
67,349-47-6932,26,7/22/2000,448,67
27,888-52-7112,107,6/4/2006,565,7
35,834-82-7510,78,6/3/2019,880,79
59,607-28-9838,142,8/29/2005,821,46
39,880-94-2299,10,2/16/2012,26,94
35,701-25-0315,173,3/1/2005,85,40
27,797-47-2882,126,6/6/2010,473,80
73,177-12-8396,190,11/15/2012,726,54
97,631-54-5151,84,3/1/1998,393,3
59,159-69-5007,118,10/1/2008,764,42
35,195-77-2863,101,11/22/2015,249,48
35,459-33-3456,181,10/23/2002,274,53
27,615-33-3554,10,1/25/2010,923,12
98,774-23-5641,187,5/30/2014,195,94
39,304-58-9527,17,8/1/2001,858,65
25,112-16-1512,22,6/21/2021,868,64
73,594-15-5497,78,4/6/2018,392,2
8,347-31-6000,27,9/22/2000,338,81
25,856-15-9835,177,8/10/2019,804,35
87,351-86-9776,159,7/21/2017,804,1
25,596-94-6937,196,10/16/2014,409,95
39,515-91-6810,139,7/18/2018,453,50
62,503-29-7051,37,4/12/2008,32,3
34,414-72-8285,172,2/29/2020,104,88
65,317-09-0254,197,1/29/2011,559,12
60,252-34-5724,148,3/7/2011,99,94
34,467-70-5039,77,11/5/2021,498,77
39,256-34-5590,154,3/24/2016,374,17
20,668-73-1191,43,7/11/2004,313,72
73,856-38-4047,17,6/1/2003,32,5
98,522-79-4162,97,10/26/2018,937,46
66,878-74-6935,64,12/3/2009,593,52
11,339-41-0206,70,11/18/2020,518,76
35,408-57-0894,185,12/4/2017,407,5
73,197-21-4632,58,11/20/1999,945,61
7,431-42-8640,43,10/12/2005,329,77
55,871-03-9339,182,2/23/2002,39,86
8,543-94-1218,29,12/15/2011,699,40
27,443-18-5565,61,4/13/1998,53,64
57,167-50-6319,97,12/26/1999,614,89
31,856-15-9835,9,4/26/2015,182,27
39,340-13-6121,40,5/13/2008,938,25
67,369-10-6476,73,5/12/2010,302,73
67,385-77-9158,173,7/10/2018,39,71
27,183-77-1783,154,11/5/2013,843,38
59,518-98-4656,117,2/8/2005,745,12
67,128-42-4132,157,10/12/2001,371,47
8,486-70-4749,6,12/17/2008,202,70
67,549-89-5203,39,1/15/2014,681,45
8,671-84-1242,80,8/25/2001,909,76
27,832-61-2032,115,11/15/2009,203,81
67,364-83-6180,181,12/10/2007,578,49
27,533-88-9280,92,8/27/2010,582,100
67,785-25-8427,126,4/26/2001,731,75
6,280-13-5270,194,8/15/2010,721,37
31,535-39-9222,140,7/4/2005,146,19
6,850-41-9102,13,8/3/1998,768,43
39,461-39-8729,37,10/7/2021,581,35
39,121-19-1174,138,1/9/2009,140,1
97,887-23-7011,21,2/23/2004,149,57
97,487-35-8650,59,4/27/2008,785,98
39,587-09-1324,129,3/14/2004,135,86
97,312-64-5541,170,8/4/2001,200,24
66,811-84-5998,19,9/16/2000,961,36
25,221-84-2855,59,11/12/2002,835,44
36,486-74-3399,34,5/13/2000,93,41
39,384-28-3938,140,10/18/2021,146,91
66,268-36-1553,163,8/24/2005,243,88
59,210-65-4460,62,1/15/1998,847,76
27,408-19-5704,166,1/7/2018,983,20
67,520-99-9065,150,7/15/2002,138,862
73,301-57-1845,29,11/27/2006,181,99
34,261-20-4873,62,4/2/1999,809,14
8,556-85-8524,106,6/12/2009,733,86
67,801-31-5572,70,6/25/2013,573,37
27,105-12-7321,6,1/8/2010,615,9
27,267-14-4987,29,3/14/2002,691,66
25,503-29-7051,107,10/6/2003,717,87
27,436-53-6613,38,6/23/2012,475,83
35,219-53-5828,71,8/27/2009,314,67
36,587-07-4206,50,1/4/2017,171,35
25,486-07-3554,115,7/31/2018,25,5
39,775-91-9031,61,12/19/1999,94,51
39,749-91-5543,45,1/27/2003,885,49
27,420-44-8822,92,8/7/2005,867,95
66,482-90-6520,178,6/9/2001,519,50
62,493-57-7041,130,6/19/2019,528,69
8,785-43-0973,44,6/6/2005,572,94
8,193-75-5474,169,9/9/2006,956,41
27,379-73-6965,141,3/8/2020,643,74
97,693-48-8160,36,9/23/2008,544,84
25,140-38-0005,171,12/2/1999,714,17
35,738-57-6940,39,1/24/1999,681,41
35,809-87-4414,192,10/2/2013,89,2
35,578-25-6897,177,4/17/2006,692,19
25,270-96-9833,26,4/6/1998,83,40
57,126-83-9541,35,4/10/2002,991,38
55,162-21-3882,146,3/1/2007,148,65
78,638-69-8503,89,8/8/1998,264,16
25,776-31-7188,171,2/24/2006,533,18
73,727-14-8591,185,12/20/2000,803,41
39,752-77-4954,8,6/2/2018,429,24
27,661-43-2960,55,8/23/2015,229,30
27,413-18-7014,64,12/19/2001,665,33
97,236-91-8312,85,6/28/2001,685,26
23,869-10-4110,179,7/18/2000,538,74
67,587-09-1324,22,3/29/2007,87,99
78,755-04-5076,120,10/11/2004,905,57
39,369-10-6476,17,11/18/2014,810,93
34,639-83-5820,23,5/29/1999,237,96
67,479-74-6570,9,5/5/2017,7,95
27,140-38-0005,95,12/31/2013,617,76
67,452-57-6605,109,8/25/2001,260,21
67,195-77-2863,22,12/30/2002,980,905
25,730-67-6237,183,12/6/1997,937,65
73,668-33-3432,59,1/24/2017,209,9
7,170-60-8590,69,8/18/2016,653,31
97,700-46-6645,25,5/28/2006,189,69
97,219-53-5828,176,11/21/1997,308,88
66,259-27-9853,82,9/4/2017,255,14
35,878-20-5187,79,2/10/2005,562,32
97,537-91-3384,151,8/4/2020,594,77
25,474-78-8536,87,11/10/2016,147,43
8,861-65-0293,92,5/20/2008,896,38
25,553-83-6393,148,10/4/2015,646,35
25,529-60-0970,6,10/24/2001,934,64
34,432-55-4860,115,3/3/2008,422,3
8,717-40-7939,14,9/14/2015,58,18
39,887-06-6051,186,2/2/1998,394,48
8,201-18-7127,19,11/30/2017,134,86
35,774-23-5641,168,2/25/2005,860,71
27,290-93-2741,85,9/13/2007,255,62
6,379-73-6965,32,7/2/2018,504,44
97,199-13-1703,145,3/18/2020,702,14
67,755-04-5076,171,11/1/2008,878,43
73,892-87-9546,178,7/10/2015,427,96
31,213-63-5532,91,1/20/2020,6,29
36,677-97-1523,77,1/9/2015,84,27
67,317-09-0254,122,6/11/2020,182,29
8,391-31-4683,145,10/24/1998,437,78
66,679-06-5879,73,6/30/2012,531,74
25,421-41-4464,59,2/15/2008,536,57
20,844-68-5106,171,8/16/2004,337,48
67,612-48-3794,185,4/24/2008,28,52
73,507-48-9468,51,8/1/1999,297,85
27,202-15-4762,155,6/6/2019,889,71
8,490-21-5851,102,9/8/2000,335,92
8,751-06-1342,126,12/31/2010,756,18
39,470-26-0096,117,6/29/2009,513,66
67,675-12-2670,128,8/28/2013,163,56
100,414-72-8285,42,12/19/2004,957,4
73,558-07-2871,84,11/15/2017,715,93
8,742-17-2717,182,11/30/2020,83,23
73,391-36-2238,83,7/30/2010,244,7
66,852-35-1571,70,5/18/2018,370,33
39,511-05-6443,123,6/14/2012,296,33
97,668-73-1191,141,10/19/2005,554,37
97,687-14-7533,147,3/2/2021,181,8
35,575-14-3728,123,5/29/2016,890,94
8,783-58-8049,115,2/26/2021,456,20
66,749-91-5543,170,7/26/2016,615,93
67,515-91-6810,38,7/6/2014,132,3
73,173-70-9342,7,12/21/1997,868,96
8,218-49-4361,96,11/13/2021,750,33
39,850-41-9102,84,7/31/2004,13,81
73,159-69-5007,180,4/29/2000,956,957
67,799-98-3060,5,2/16/2004,964,51
3,777-18-8169,97,1/11/2008,360,94
67,248-02-2795,168,1/5/2013,637,50
77,338-90-8782,131,3/20/2019,906,38
73,366-94-3335,179,9/24/2017,599,92
87,219-41-5075,166,10/28/2014,405,46
39,470-26-0096,109,9/18/2005,975,964
27,221-17-5094,103,4/18/2014,27,66
67,612-48-3794,172,11/18/2000,747,43
66,354-07-5572,168,8/2/2013,372,96
67,163-82-9537,51,12/23/2003,737,73
66,532-35-3743,99,6/15/2003,953,16
63,280-83-9977,170,12/13/2004,395,95
25,185-81-0885,164,10/20/2015,320,88
27,831-67-2835,74,10/27/1999,384,42
62,132-32-3332,51,10/20/2007,698,15
8,289-76-1318,64,5/9/2018,219,75
27,250-97-2970,165,7/3/1999,113,1
97,149-27-6956,162,12/6/2004,487,64
39,623-19-3152,97,1/22/2008,851,61
62,455-18-4954,179,2/22/2002,732,80
55,129-87-7029,121,3/11/2017,988,87
35,737-52-6137,20,5/20/2012,743,27
27,323-81-3050,5,2/1/2009,872,38
25,393-37-5881,106,7/31/2012,658,93
8,219-53-5828,15,4/4/2006,349,92
25,379-73-6965,85,9/30/2006,527,16
34,580-54-0029,145,9/7/1998,633,94
73,574-91-6186,166,3/9/2014,372,20
7,714-62-5349,97,3/22/2015,791,19
67,730-91-7354,141,12/30/2004,342,21
59,454-39-0668,94,2/6/2017,908,36
25,528-87-8068,107,11/18/2021,949,80
39,569-48-5837,163,1/7/2005,462,72
8,381-83-5288,142,1/31/2009,728,97
34,851-56-0504,71,3/21/2021,461,57
35,350-26-0964,74,1/11/2016,42,33
55,499-94-5388,186,12/5/1998,721,72
7,338-14-4894,7,10/29/2004,551,14
66,204-17-2929,146,12/31/2013,490,72
73,684-95-1408,16,10/31/2010,296,2
34,210-65-4460,107,9/8/2012,626,13
73,651-56-4187,122,6/5/1999,302,38
